frame,stage,det_index,matched,selected_track_id,best_track_id,appearance_cost,position_cost,path_cost,final_cost,x1,y1,w,h,bev_x,bev_y
4,primary,23,1,29,45,0.036859,0.001403,0.728432,0.309943,2527.98,376.86,84.40,58.89,1728.166628,1321.584068
4,primary,24,1,58,58,0.015001,0.000017,0.000000,0.007502,893.77,1402.43,86.91,68.10,1144.118447,748.602098
4,primary,25,1,28,45,0.025491,0.000191,0.188689,0.088240,2477.32,364.18,79.91,52.22,1754.511299,1304.744806
4,primary,26,1,15,45,0.076703,0.000048,0.858251,0.381657,2478.87,460.65,53.83,68.61,1635.725596,1269.069614
4,primary,27,1,48,45,0.026384,0.000075,0.506031,0.215612,2681.68,517.05,62.82,53.62,1588.205480,1337.269005
4,primary,28,1,13,13,0.018178,0.000221,0.152890,0.070267,2605.57,590.28,117.52,125.53,1480.033828,1284.178425
4,primary,29,1,22,22,0.012089,0.007478,0.014226,0.012483,2654.06,451.70,92.87,58.59,1642.985392,1350.687663
4,primary,30,1,18,18,0.016486,0.015560,0.998703,0.409280,69.10,667.39,60.27,33.57,1597.585670,38.000028
4,primary,31,1,26,26,0.028797,0.002335,0.993544,0.412050,2111.00,439.51,50.45,110.54,1636.262176,1110.969700
4,primary,32,1,24,51,0.023824,0.000114,0.845394,0.350081,456.78,834.04,103.05,52.18,1415.916784,421.476381
4,primary,33,1,41,45,0.023634,0.009032,0.199742,0.092617,2445.70,349.83,57.99,39.40,1791.262858,1293.991831
4,primary,34,1,34,45,0.017666,0.003449,0.589375,0.244928,2564.29,390.36,72.94,54.42,1715.953982,1331.593735
4,primary,35,1,44,44,0.014725,0.000365,0.971376,0.395949,1774.24,221.36,71.82,43.78,2075.607370,943.620724
4,primary,36,1,35,51,0.016866,0.000472,0.429862,0.180425,455.50,879.59,64.18,51.47,1385.408560,433.818551
4,primary,37,1,30,45,0.012709,0.000135,0.749282,0.306081,2683.08,464.44,68.40,55.40,1633.116568,1354.090194
4,primary,38,1,59,59,0.020485,0.000134,0.000000,0.010256,2199.33,1286.17,37.66,46.37,1195.890372,1086.563060
4,primary,39,1,42,42,0.021512,0.000417,0.217235,0.097692,360.11,827.64,62.03,46.52,1427.503721,355.090658
4,primary,40,1,40,40,0.042425,0.000552,0.243790,0.118784,2106.46,280.60,37.56,53.60,1904.988201,1132.310560
4,primary,41,1,61,61,0.016056,0.000001,0.000000,0.008028,1179.45,1427.25,86.44,68.71,1139.252003,831.313000
4,primary,42,1,36,51,0.017742,0.000823,0.375698,0.159233,336.94,876.81,73.59,46.68,1392.612332,374.315675
4,primary,43,1,56,56,0.038113,0.000083,0.877034,0.369879,1649.13,1188.36,37.86,49.29,1226.800509,938.468714
4,primary,44,1,49,49,0.043915,0.268281,0.000000,0.048786,1692.60,188.41,73.20,45.51,2159.641920,882.197626
4,primary,45,1,51,51,0.093499,0.080012,0.000000,0.054751,513.65,889.84,54.34,41.80,1384.093992,459.406666
4,primary,46,1,45,45,0.108051,0.243636,0.000000,0.078389,2649.10,445.05,72.80,50.72,1657.795280,1349.479374
4,primary,47,1,37,37,0.025461,0.013341,0.998577,0.413495,2110.05,338.25,39.58,50.73,1824.125710,1126.836379
4,primary,48,1,50,50,0.038810,0.000095,0.530502,0.231615,954.22,914.85,90.65,48.89,1357.286877,672.286612
4,primary,49,1,31,45,0.017464,0.001869,0.603567,0.250346,2612.56,566.88,72.85,63.41,1542.444839,1298.434981
4,primary,50,0,1,1,0.082855,1.000000,0.999953,inf,2077.29,1267.67,34.65,51.77,1199.588409,1055.646652
4,primary,51,1,43,43,0.012017,0.005564,0.020604,0.014807,2426.05,329.53,56.49,41.94,1816.051311,1290.029850
4,primary,52,1,46,46,0.019891,0.000011,0.390957,0.166329,3074.37,797.10,67.91,40.00,1398.001121,1390.333499
