2,37,2110.01,340.18,39.80,48.36,0.28,-1,-1,-1
2,38,1692.73,188.45,71.07,45.36,0.31,-1,-1,-1
2,39,1071.44,782.81,52.42,39.21,0.32,-1,-1,-1
2,40,2104.96,277.84,39.45,57.00,0.43,-1,-1,-1
2,41,2445.36,349.06,57.74,39.89,0.45,-1,-1,-1
2,42,364.41,829.46,58.25,44.09,0.38,-1,-1,-1
2,43,2425.91,329.53,57.44,42.40,0.21,-1,-1,-1
2,44,1774.37,221.36,71.74,43.69,0.46,-1,-1,-1
2,46,3074.10,797.42,68.04,39.74,0.18,-1,-1,-1
2,48,2681.41,517.22,62.66,53.46,0.61,-1,-1,-1
2,50,954.85,915.74,89.90,47.81,0.37,-1,-1,-1
2,52,2841.66,215.94,100.58,46.64,0.10,-1,-1,-1
2,53,2116.75,393.72,42.07,49.10,0.11,-1,-1,-1
2,55,512.27,889.17,56.10,42.20,0.32,-1,-1,-1
2,56,1655.33,1186.96,35.00,52.34,0.45,-1,-1,-1
2,58,893.49,1402.83,87.87,68.34,0.66,-1,-1,-1
2,59,2196.70,1283.39,36.08,48.46,0.44,-1,-1,-1
2,60,2995.63,693.45,50.85,40.10,0.12,-1,-1,-1
2,61,1179.26,1427.13,86.90,69.03,0.26,-1,-1,-1
3,1,2829.88,803.25,157.50,83.32,0.88,-1,-1,-1
3,2,2849.22,675.90,80.09,84.11,0.88,-1,-1,-1
3,3,2773.67,658.65,70.04,91.47,0.86,-1,-1,-1
3,4,2175.82,740.99,101.66,80.56,0.88,-1,-1,-1
3,5,1316.08,763.47,346.67,135.17,0.92,-1,-1,-1
3,6,117.57,690.05,71.96,42.71,0.85,-1,-1,-1
3,7,2936.25,698.99,79.44,81.97,0.83,-1,-1,-1
3,8,283.00,658.34,74.09,43.94,0.82,-1,-1,-1
3,9,1942.93,821.21,138.41,77.20,0.89,-1,-1,-1
3,10,2482.95,588.11,103.70,61.49,0.80,-1,-1,-1
3,11,1235.48,879.80,132.19,64.60,0.89,-1,-1,-1
3,12,2536.44,616.06,92.54,64.73,0.82,-1,-1,-1
3,13,2605.57,590.28,117.52,125.53,0.59,-1,-1,-1
3,14,1066.02,925.81,91.69,60.28,0.81,-1,-1,-1
